№,Наименование,Сокращенное наименование,Адрес,Юридический адрес,Район города,Ближайшая станция метро,Руководитель,Телефон,Факс,Электронная почта,Количество мест,Муниципальное образование,ИНН,ОГРН,Прочее
1,"Санкт-Петербургское государственное бюджетное учереждение культуры ""Театр юных зрителей им. А.А. Брянцева""",ТЮЗ им. А.А. Брянцева,"191119, г.Санкт-Петербург, Пионерская площадь, дом 1, корпус 1,2, литера А,Б","191119, г.Санкт-Петербург, Пионерская площадь, дом 1, корпус 1,2, литера А,Б",Адмиралтейский,"Пушкинская, Звенигородская",Лаврецова Светлана Васильевна,712-4068,712-59-70,spb-tuz@mail.ru,780 - большой зал,Муниципальный округ № 4,7809007926,1027810260543,www.tyuz-spb.ru
2,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Санкт-Петербургский молодежный театр на Фонтанке""","СПб ГБУК ""Санкт-Петербургский Молодежный театр""","198005, г.Санкт-Петербург, набережная реки Фонтанки, дом 114, литер А","190005, г.Санкт-Петербург, набережная реки Фонтанки, дом 114",Адмиралтейский,Технологический институт,Семенова Лидия Анатольевна,576-1986,576-1990,ice@mtfontanka.spb.ru,400,муниципальное образование Измайловское,7809010012,1037851018688,www.mtfontanka.spb.ru
3,"Санкт-Петербургсое государственное бюджетное учреждение культуоы ""Санкт-Петербургский государственный детский драматический театр ""На Неве""","СПб ГБУК ""Театр ""На Неве""","190005, г.Санкт-Петербург, Советский переулок, дом 5, корпус -, литера А,","г.Санкт-Петербург, Измайловский проспект, д.8, л.А",Адмиралтейский,Технологический институт,Савенкова Татьяна Аркадьевна,251-01-13,251-79-93,naneve@mail.ru,,муниципальное образование Измайловское,7825330764,1027810234506,www.tnaneve.spb.ru
4,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Камерный музыкальный театр ""Санктъ-Петербургь опера""","СПб ГБ УК ""Камерный музыкальный театр ""Санктъ-Петербургъ опера""","190000, г.Санкт-Петербург, Галерная улица, дом 33/35,","190000, г.Санкт-Петербург, Галерная улица, дом 33/35,",Адмиралтейский,Адмиралтейская,Малыгин Евгений Сергеевич,315-6769,315-67-69,spbopera@comlink.spb.ru,,муниципальное образование Адмиралтейский округ,7812049482,1027810322605,www.spbopera.ru
5,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Санкт-Петербургский государственный музыкально-драматический театр ""Буфф""","СПб ГБУК ГМД театр ""Буфф""","г.Санкт-Петербург, проспект Шаумяна, д.22, л.А","193079, г.Санкт-Петербург, Народная улица, дом 1, литера Б",Невский,Новочеркасская,Файзрахманова Алевтина Хабибовна, 573-95-95,576-83-51,buff@theatre-buff.spb.ru,,Муниципальный округ № 53,7811019566,1037825029857,www.theatre-buff.spb.ru
6,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Кукольный театр сказки""","СПб ГБУК ""Кукольный театр сказки""","196006, г.Санкт-Петербург, Московский проспект, дом 121, литера А,","196006, г.Санкт-Петербург, Московский проспект, дом 121, литера А,",Московский,Московские ворота,Лавров Николай Александрович,388-58-72,388-58-72,info@teatrskazki.spb.ru,,муниципальное образование Московская застава,7810204157,1037821032182,teatrskazki.spb.ru
7,"Санкт-Петербургское государственное автономное учреждение культуры ""Театр ""Мюзик-Холл""",Мюзик-Холл,"197198, г.Санкт-Петербург, Александровский парк, дом 4, литера м,","197198, г.Санкт-Петербург, Александровский парк, дом 4,",Петроградский,Горьковская,Мастранджело Фабио – художественный руководитель; Стрижак Юлия Николаевна - директор,232-61-65,232-53-29,direction@musichallspb.ru,,Мунициальное образование Кронверкское,7813046420,1027806869771,www.musichall.spb.ru
8,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Академический театр Балета под руководством Бориса Эйфмана""","СПб ГБУК ""АТБ п/р Б.Эйфмана""","г.Санкт-Петербург, Шамшева улица, д.17, л.А","г.Санкт-Петербург, Шамшева улица, д.17, л.А",Петроградский,Чкаловская,Эйфман Борис Яковлевич,235-4897,235-4897,eifmanballet@inbox.ru,,Муниципальный округ Петровский,7813045201,1027806889978,www.eifmanballet.spb.ru
9,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Театр-фестиваль ""Балтийский дом""","СПб ГБУК ""Театр-фестиваль ""Балтиискии дом""","197198, г.Санкт-Петербург, Александровский парк, дом 4,","197198, г.Санкт-Петербург, Александровский парк, дом 4,",Петроградский,Горьковская,Шуб Сергей Григорьевич,232-1368,233-99-36,e-mail: fs@baltichouse.spb.ru,,Муниципальное образование Кронверкское,7813046396,1037828004312,www.baltichouse.spb.ru
10,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Санкт-Петербургский детский ледовый театр""","СПбГБУК ""Санкт-Петербургский детский ледовый театр""","192007, г.Санкт-Петербург, Лиговский проспект, дом 148, литера А,","192007, г.Санкт-Петербург, Лиговский проспект, дом 148, литера А,",Фрунзенский,Обводный Канал,Константинов Никита Алексеевич,766-16-18,712-86-25,info@ice-theater.ru,,муниципальный округ Волковское,7816088387,1027808005477,http://ice-theater.ru/
